,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
215,Hons or Grater,22.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,5,3,Yes,Public,Urban,Male,Yes,Computer
216,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,3,No,Public,Rural,Male,Yes,Computer
217,Upto HSC,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,4,4,No,Public,Rural,Male,Yes,Mobile
218,Upto HSC,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,6,3,No,Public,Rural,Female,Yes,Computer
219,Upto HSC,20.0,Yes,Yes,No,No,Urban,No,Broadband,5,3,No,Public,Rural,Male,No,Computer
220,Hons or Grater,25.0,No,Yes,No,Yes,Urban,No,Mobile Internet,6,4,No,Public,Rural,Male,Yes,Computer
221,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,6,3,No,Private,Rural,Female,Yes,Computer
222,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,4,No,Private,Rural,Male,No,Computer
223,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,4,Yes,Private,Rural,Female,Yes,Computer
225,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,No,Private,Urban,Female,No,Computer
226,Upto HSC,19.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Male,Yes,Computer
227,Upto HSC,17.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Male,No,Computer
232,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,4,Yes,Private,Urban,Male,Yes,Mobile
240,Hons or Grater,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,4,3,Yes,Public,Urban,Male,No,Mobile
245,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,4,3,No,Public,Rural,Male,No,Computer
249,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,6,3,Yes,Private,Urban,Female,Yes,Computer
251,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,2,No,Private,Urban,Male,Yes,Computer
258,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,4,Yes,Private,Urban,Male,Yes,Computer
259,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,3,No,Private,Rural,Female,Yes,Mobile
260,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Mobile
261,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,3,No,Private,Urban,Female,Yes,Computer
262,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,6,3,Yes,Public,Urban,Male,Yes,Mobile
263,Upto HSC,17.0,No,Yes,No,No,Rural,No,Mobile Internet,5,3,No,Public,Rural,Male,Yes,Computer
264,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Mobile
265,Hons or Grater,26.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,5,3,No,Private,Rural,Male,No,Mobile
266,Upto HSC,23.0,Yes,Yes,No,No,Rural,Yes,Broadband,5,2,No,Private,Urban,Male,No,Mobile
268,Upto HSC,23.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,6,2,Yes,Private,Urban,Male,Yes,Mobile
270,Upto HSC,24.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,5,3,Yes,Private,Rural,Male,Yes,Mobile
272,Upto HSC,25.0,No,Yes,No,Yes,Rural,No,Mobile Internet,5,3,No,Public,Rural,Female,No,Mobile
273,Upto HSC,18.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,Yes,Private,Urban,Female,Yes,Mobile
