,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
8018,Upto HSC,18.0,Yes,Yes,Yes,No,Urban,No,Broadband,5,3,Yes,Private,Rural,Female,Yes,Computer
8020,Hons or Grater,23.0,No,Yes,No,No,Urban,Yes,Broadband,3,3,No,Private,Rural,Female,Yes,Mobile
8022,Hons or Grater,22.0,Yes,Yes,No,No,Rural,Yes,Broadband,5,3,Yes,Public,Urban,Female,No,Computer
8023,Upto HSC,20.0,Yes,Yes,Yes,No,Rural,Yes,Mobile Internet,4,3,No,Public,Urban,Male,Yes,Computer
8024,Upto HSC,20.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,2,No,Private,Rural,Female,Yes,Computer
8025,Hons or Grater,22.0,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,6,2,Yes,Private,Urban,Male,Yes,Mobile
8027,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Broadband,6,3,Yes,Private,Rural,Female,Yes,Mobile
8029,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,2,No,Public,Urban,Male,Yes,Computer
8030,Hons or Grater,26.0,No,Yes,No,Yes,Urban,No,Mobile Internet,6,3,No,Private,Urban,Female,Yes,Computer
8032,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,3,Yes,Private,Rural,Male,Yes,Computer
8037,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,4,No,Private,Rural,Female,No,Computer
8038,Hons or Grater,24.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,5,2,No,Private,Urban,Male,Yes,Mobile
8040,Upto HSC,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Computer
8041,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,5,4,No,Private,Rural,Male,Yes,Mobile
8042,Upto HSC,21.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,6,3,No,Private,Rural,Female,Yes,Mobile
8043,Hons or Grater,22.0,Yes,Yes,No,No,Rural,No,Broadband,5,3,No,Private,Rural,Female,No,Computer
8048,Upto HSC,26.0,No,No,No,Yes,Urban,Yes,Mobile Internet,5,3,Yes,Private,Rural,Female,Yes,Computer
8049,Upto HSC,26.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,4,3,Yes,Public,Urban,Male,Yes,Computer
8050,Upto HSC,17.0,Yes,Yes,Yes,No,Rural,No,Broadband,4,3,Yes,Private,Urban,Female,Yes,Computer
8051,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,2,No,Private,Rural,Female,No,Mobile
8052,Upto HSC,25.0,Yes,No,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Rural,Male,Yes,Computer
8056,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,2,Yes,Private,Urban,Male,No,Computer
8057,Hons or Grater,21.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Private,Rural,Male,Yes,Computer
8058,Hons or Grater,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,5,3,No,Private,Rural,Male,No,Computer
8060,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,4,Yes,Private,Urban,Male,No,Computer
8061,Upto HSC,17.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,3,Yes,Private,Rural,Female,No,Computer
8062,Hons or Grater,25.0,Yes,No,No,No,Urban,Yes,Broadband,4,3,Yes,Public,Rural,Female,No,Mobile
8063,Upto HSC,24.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,4,No,Private,Urban,Male,Yes,Computer
8064,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,Yes,Private,Rural,Female,No,Computer
8065,Upto HSC,26.0,No,No,No,Yes,Urban,Yes,Broadband,6,3,Yes,Private,Urban,Male,Yes,Computer
8068,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,6,2,Yes,Public,Urban,Female,No,Computer
8069,Hons or Grater,24.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,4,2,No,Private,Urban,Male,No,Computer
8072,Upto HSC,26.0,Yes,No,Yes,No,Urban,Yes,Broadband,5,4,Yes,Public,Urban,Female,Yes,Computer
8075,Upto HSC,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,4,No,Private,Urban,Female,No,Computer
8076,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,4,No,Public,Rural,Female,Yes,Computer
8077,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,3,No,Private,Urban,Male,No,Mobile
8078,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Male,Yes,Mobile
8079,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,5,2,Yes,Private,Rural,Male,Yes,Mobile
8080,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,No,Broadband,4,2,No,Private,Urban,Female,Yes,Computer
8081,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,No,Broadband,3,4,No,Private,Rural,Female,No,Computer
8082,Upto HSC,20.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,5,4,No,Private,Urban,Female,Yes,Computer
8087,Upto HSC,17.0,Yes,No,No,Yes,Urban,Yes,Broadband,4,2,Yes,Private,Urban,Female,Yes,Computer
8088,Upto HSC,24.0,Yes,No,Yes,Yes,Rural,Yes,Broadband,5,2,No,Private,Rural,Female,No,Computer
8090,Upto HSC,25.0,Yes,No,No,No,Urban,Yes,Broadband,4,2,No,Private,Rural,Female,Yes,Mobile
8091,Hons or Grater,21.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,6,3,Yes,Public,Urban,Male,No,Computer
8093,Hons or Grater,26.0,Yes,No,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Rural,Female,No,Computer
8094,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Computer
8097,Hons or Grater,21.0,Yes,No,No,Yes,Rural,Yes,Broadband,4,4,No,Public,Rural,Female,No,Computer
8102,Hons or Grater,23.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,3,2,Yes,Public,Urban,Male,Yes,Mobile
8104,Hons or Grater,21.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,3,3,No,Public,Rural,Male,Yes,Mobile
8107,Upto HSC,19.0,No,No,Yes,No,Urban,Yes,Mobile Internet,5,2,Yes,Private,Urban,Female,Yes,Mobile
8110,Hons or Grater,21.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,3,3,Yes,Public,Rural,Male,No,Mobile
8111,Hons or Grater,21.0,Yes,No,No,No,Rural,Yes,Mobile Internet,3,4,No,Private,Urban,Male,No,Mobile
8112,Upto HSC,26.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,3,2,Yes,Public,Rural,Male,No,Mobile
8114,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,3,No,Private,Rural,Female,No,Mobile
8115,Hons or Grater,21.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,4,2,Yes,Private,Urban,Male,No,Computer
8119,Upto HSC,24.0,No,Yes,No,No,Rural,No,Broadband,4,3,No,Private,Rural,Female,No,Computer
8120,Upto HSC,20.0,No,No,Yes,No,Rural,Yes,Broadband,5,2,No,Public,Rural,Male,Yes,Computer
8122,Hons or Grater,26.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Male,Yes,Computer
8123,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,6,2,No,Private,Rural,Female,No,Computer
8126,Hons or Grater,22.0,No,Yes,No,No,Urban,Yes,Mobile Internet,6,3,Yes,Public,Urban,Female,No,Mobile
8128,Hons or Grater,24.0,No,No,No,No,Urban,Yes,Broadband,3,2,Yes,Private,Urban,Female,Yes,Computer
8129,Hons or Grater,22.0,Yes,No,No,Yes,Rural,Yes,Mobile Internet,5,3,No,Private,Urban,Female,No,Computer
8130,Upto HSC,25.0,No,Yes,No,No,Rural,No,Broadband,5,4,No,Private,Rural,Female,No,Mobile
8131,Hons or Grater,23.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,6,3,No,Private,Rural,Female,No,Mobile
8133,Hons or Grater,24.0,Yes,No,Yes,No,Urban,Yes,Broadband,5,4,No,Private,Urban,Male,No,Computer
8134,Hons or Grater,21.0,Yes,No,Yes,No,Urban,Yes,Broadband,5,2,Yes,Private,Rural,Male,Yes,Mobile
8136,Hons or Grater,23.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,6,3,No,Public,Urban,Female,Yes,Mobile
8138,Hons or Grater,22.0,No,Yes,No,No,Urban,Yes,Mobile Internet,5,2,No,Public,Urban,Male,Yes,Mobile
8141,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,2,No,Private,Rural,Male,Yes,Mobile
8142,Upto HSC,26.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,Male,Yes,Computer
8143,Hons or Grater,23.0,Yes,No,Yes,Yes,Urban,Yes,Broadband,3,2,No,Private,Rural,Male,Yes,Mobile
8144,Upto HSC,18.0,Yes,Yes,No,No,Urban,No,Broadband,4,4,No,Public,Urban,Female,Yes,Computer
8146,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,6,3,No,Private,Urban,Male,Yes,Computer
8147,Upto HSC,26.0,Yes,No,Yes,No,Urban,Yes,Broadband,6,2,No,Private,Urban,Male,No,Computer
8149,Upto HSC,18.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,4,4,No,Private,Urban,Male,Yes,Mobile
8150,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,4,Yes,Private,Urban,Female,Yes,Mobile
8152,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Male,Yes,Computer
8153,Upto HSC,19.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,No,Private,Rural,Male,No,Computer
8154,Hons or Grater,21.0,No,Yes,No,Yes,Urban,Yes,Broadband,5,3,No,Private,Rural,Male,No,Computer
8155,Hons or Grater,23.0,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,4,2,Yes,Public,Urban,Male,Yes,Computer
8156,Hons or Grater,23.0,Yes,No,Yes,No,Urban,Yes,Broadband,4,2,Yes,Public,Urban,Male,Yes,Computer
8158,Upto HSC,21.0,No,Yes,Yes,No,Urban,Yes,Broadband,5,3,Yes,Private,Rural,Male,Yes,Computer
8159,Hons or Grater,22.0,Yes,No,No,No,Urban,Yes,Mobile Internet,6,2,Yes,Private,Urban,Male,No,Computer
8161,Upto HSC,22.0,Yes,No,Yes,Yes,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Female,No,Computer
8162,Hons or Grater,23.0,Yes,No,Yes,Yes,Urban,Yes,Broadband,5,3,No,Public,Urban,Female,Yes,Computer
8164,Upto HSC,21.0,Yes,No,Yes,No,Rural,Yes,Broadband,3,2,Yes,Private,Urban,Female,No,Mobile
8166,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,2,No,Private,Urban,Female,No,Computer
8167,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Broadband,4,3,Yes,Private,Rural,Male,Yes,Mobile
8169,Hons or Grater,21.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,6,3,No,Private,Rural,Male,No,Mobile
8170,Hons or Grater,22.0,Yes,No,Yes,Yes,Rural,Yes,Mobile Internet,4,3,Yes,Private,Urban,Male,Yes,Computer
8171,Hons or Grater,23.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,3,3,Yes,Public,Urban,Male,No,Computer
8175,Hons or Grater,22.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,4,2,Yes,Private,Rural,Female,No,Computer
8181,Upto HSC,25.0,No,No,Yes,No,Rural,Yes,Broadband,3,3,No,Public,Rural,Male,Yes,Computer
8183,Hons or Grater,21.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,5,3,No,Private,Rural,Male,Yes,Mobile
8184,Hons or Grater,25.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,4,3,No,Private,Urban,Male,Yes,Computer
8185,Upto HSC,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,Private,Urban,Male,Yes,Computer
8187,Hons or Grater,23.0,Yes,Yes,Yes,No,Rural,Yes,Mobile Internet,6,3,Yes,Public,Urban,Male,Yes,Computer
8191,Hons or Grater,24.0,No,No,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Rural,Female,Yes,Mobile
8193,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,4,Yes,Private,Urban,Male,No,Mobile
8194,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,2,Yes,Private,Urban,Female,Yes,Computer
8196,Hons or Grater,25.0,Yes,No,No,Yes,Urban,Yes,Broadband,5,3,Yes,Private,Rural,Female,Yes,Mobile
8197,Hons or Grater,25.0,No,Yes,Yes,No,Urban,Yes,Mobile Internet,3,2,No,Private,Urban,Male,No,Computer
8198,Hons or Grater,21.0,Yes,Yes,No,No,Urban,No,Mobile Internet,3,4,Yes,Public,Urban,Male,Yes,Computer
8199,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,Male,Yes,Computer
8201,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,6,3,No,Public,Rural,Female,Yes,Computer
8202,Hons or Grater,21.0,Yes,No,No,No,Urban,Yes,Broadband,4,3,No,Public,Rural,Female,Yes,Mobile
8203,Upto HSC,24.0,Yes,Yes,Yes,Yes,Urban,No,Broadband,3,4,Yes,Private,Urban,Male,Yes,Computer
8204,Hons or Grater,26.0,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,4,4,No,Private,Urban,Female,Yes,Mobile
8205,Hons or Grater,25.0,Yes,No,No,Yes,Urban,Yes,Broadband,3,3,Yes,Private,Rural,Male,No,Computer
8206,Hons or Grater,21.0,Yes,No,Yes,Yes,Urban,Yes,Mobile Internet,4,2,Yes,Public,Rural,Female,No,Mobile
8209,Upto HSC,23.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,Yes,Private,Urban,Female,Yes,Mobile
8210,Hons or Grater,24.0,Yes,No,No,No,Urban,Yes,Broadband,5,4,No,Public,Urban,Female,No,Mobile
8212,Upto HSC,18.0,No,Yes,Yes,No,Urban,Yes,Broadband,4,4,Yes,Private,Rural,Male,Yes,Mobile
8213,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Broadband,3,2,Yes,Private,Urban,Male,No,Computer
8214,Hons or Grater,21.0,Yes,Yes,No,No,Urban,No,Mobile Internet,3,3,No,Private,Urban,Female,Yes,Computer
8217,Upto HSC,24.0,Yes,Yes,No,No,Rural,Yes,Broadband,6,3,Yes,Public,Rural,Male,No,Mobile
8218,Upto HSC,24.0,No,Yes,Yes,Yes,Urban,Yes,Broadband,3,2,No,Public,Urban,Female,Yes,Mobile
8219,Upto HSC,23.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,2,No,Public,Urban,Male,Yes,Mobile
8221,Hons or Grater,26.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,3,3,Yes,Public,Urban,Female,Yes,Computer
8225,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,6,3,Yes,Public,Urban,Female,No,Mobile
8227,Hons or Grater,22.0,Yes,No,No,Yes,Urban,Yes,Broadband,5,3,Yes,Public,Urban,Female,Yes,Computer
8228,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,4,4,Yes,Public,Rural,Male,No,Computer
8229,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,2,Yes,Private,Rural,Male,Yes,Mobile
8230,Upto HSC,25.0,Yes,No,Yes,Yes,Rural,Yes,Mobile Internet,5,2,Yes,Private,Urban,Male,Yes,Computer
8231,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,4,2,Yes,Public,Urban,Male,Yes,Mobile
8232,Hons or Grater,25.0,Yes,No,No,No,Urban,Yes,Mobile Internet,4,2,No,Public,Urban,Female,Yes,Computer
8233,Hons or Grater,23.0,Yes,No,No,No,Urban,Yes,Broadband,5,3,Yes,Public,Rural,Female,No,Mobile
8237,Hons or Grater,26.0,Yes,No,Yes,Yes,Urban,Yes,Broadband,5,2,No,Private,Urban,Male,Yes,Computer
8238,Upto HSC,24.0,Yes,No,No,No,Urban,Yes,Broadband,5,3,Yes,Public,Urban,Female,Yes,Mobile
8239,Upto HSC,24.0,Yes,No,No,No,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,Female,No,Computer
8242,Upto HSC,24.0,Yes,No,No,Yes,Urban,Yes,Broadband,5,2,Yes,Private,Urban,Male,Yes,Computer
8248,Hons or Grater,26.0,Yes,No,Yes,Yes,Urban,Yes,Broadband,4,4,No,Private,Urban,Female,Yes,Mobile
8249,Upto HSC,25.0,Yes,No,No,No,Urban,Yes,Mobile Internet,4,2,No,Private,Rural,Female,No,Computer
8250,Hons or Grater,24.0,Yes,No,Yes,No,Rural,Yes,Broadband,4,3,No,Public,Urban,Female,No,Computer
8251,Upto HSC,24.0,No,Yes,No,Yes,Urban,Yes,Broadband,4,3,Yes,Private,Rural,Female,Yes,Mobile
8252,Upto HSC,22.0,Yes,No,No,No,Urban,Yes,Mobile Internet,4,3,No,Public,Urban,Male,Yes,Computer
8253,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,No,Broadband,5,4,No,Private,Rural,Male,No,Computer
8255,Hons or Grater,25.0,No,No,Yes,Yes,Urban,Yes,Mobile Internet,3,4,No,Public,Rural,Male,Yes,Mobile
8256,Upto HSC,19.0,Yes,No,Yes,Yes,Rural,Yes,Mobile Internet,6,4,No,Private,Urban,Male,Yes,Computer
8257,Hons or Grater,22.0,No,Yes,No,Yes,Urban,Yes,Broadband,5,2,No,Private,Urban,Female,No,Computer
8261,Upto HSC,22.0,Yes,No,No,No,Urban,Yes,Broadband,3,3,No,Public,Urban,Male,Yes,Computer
8262,Hons or Grater,23.0,No,Yes,Yes,No,Urban,Yes,Broadband,4,2,No,Private,Urban,Male,Yes,Computer
8266,Upto HSC,20.0,Yes,No,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Female,Yes,Computer
8267,Hons or Grater,26.0,Yes,No,Yes,No,Urban,Yes,Broadband,4,3,No,Public,Urban,Male,No,Mobile
8268,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,2,No,Private,Urban,Male,No,Mobile
8273,Hons or Grater,26.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,4,3,Yes,Private,Rural,Male,Yes,Computer
8276,Hons or Grater,23.0,Yes,No,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Private,Urban,Male,No,Mobile
8277,Hons or Grater,23.0,Yes,No,Yes,Yes,Urban,Yes,Broadband,6,3,No,Private,Rural,Female,Yes,Computer
8278,Upto HSC,18.0,No,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Urban,Female,No,Mobile
8279,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,No,Private,Rural,Female,No,Mobile
8280,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Rural,No,Broadband,4,4,Yes,Private,Urban,Male,No,Computer
8281,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,3,Yes,Private,Urban,Male,No,Computer
8284,Hons or Grater,22.0,Yes,Yes,No,No,Rural,Yes,Broadband,4,3,Yes,Private,Urban,Female,Yes,Mobile
8285,Hons or Grater,24.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,Male,Yes,Mobile
8287,Hons or Grater,22.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,4,3,No,Public,Urban,Male,No,Computer
8288,Hons or Grater,22.0,No,No,Yes,No,Urban,Yes,Broadband,4,3,Yes,Public,Urban,Female,No,Mobile
8289,Hons or Grater,23.0,No,Yes,Yes,Yes,Urban,Yes,Broadband,5,4,Yes,Private,Urban,Female,Yes,Computer
8290,Hons or Grater,26.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,4,2,No,Private,Urban,Male,No,Computer
8291,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,4,Yes,Private,Urban,Female,No,Mobile
8292,Upto HSC,21.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,3,2,No,Public,Urban,Female,No,Computer
8294,Upto HSC,18.0,No,Yes,No,Yes,Urban,No,Broadband,6,3,Yes,Private,Rural,Male,Yes,Mobile
8297,Hons or Grater,23.0,No,No,No,Yes,Urban,Yes,Broadband,4,2,No,Public,Rural,Female,Yes,Computer
8301,Hons or Grater,21.0,Yes,No,Yes,Yes,Urban,Yes,Broadband,3,2,Yes,Private,Rural,Female,Yes,Computer
8303,Hons or Grater,25.0,Yes,Yes,No,No,Rural,Yes,Broadband,4,3,Yes,Private,Rural,Female,Yes,Computer
8304,Upto HSC,23.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,4,3,No,Private,Urban,Female,No,Computer
8305,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Female,No,Computer
8307,Hons or Grater,26.0,Yes,No,Yes,Yes,Rural,Yes,Mobile Internet,4,3,No,Public,Urban,Female,No,Computer
8308,Hons or Grater,25.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,5,3,No,Public,Urban,Male,No,Computer
8309,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,6,4,No,Public,Rural,Male,Yes,Computer
8310,Hons or Grater,23.0,No,Yes,Yes,No,Urban,Yes,Broadband,4,4,No,Private,Urban,Male,Yes,Mobile
8311,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,Urban,Male,Yes,Computer
8316,Hons or Grater,26.0,Yes,No,No,No,Urban,Yes,Mobile Internet,3,2,No,Public,Rural,Female,Yes,Computer
8318,Upto HSC,22.0,Yes,Yes,No,No,Rural,Yes,Broadband,6,2,No,Public,Rural,Female,Yes,Computer
8319,Hons or Grater,24.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,6,3,No,Public,Rural,Male,Yes,Mobile
8320,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,3,No,Public,Urban,Male,No,Mobile
8321,Hons or Grater,23.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,6,2,No,Public,Rural,Female,Yes,Computer
8322,Upto HSC,24.0,Yes,Yes,Yes,Yes,Rural,No,Mobile Internet,6,2,Yes,Private,Urban,Male,Yes,Computer
8324,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,Yes,Private,Urban,Female,Yes,Computer
8328,Upto HSC,21.0,Yes,No,Yes,Yes,Urban,Yes,Broadband,4,3,No,Private,Urban,Male,Yes,Computer
8330,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,No,Private,Rural,Female,No,Computer
8331,Upto HSC,24.0,No,Yes,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,Rural,Male,Yes,Computer
8332,Hons or Grater,22.0,Yes,No,No,No,Urban,Yes,Mobile Internet,5,2,No,Private,Rural,Female,Yes,Mobile
8333,Hons or Grater,26.0,Yes,No,Yes,No,Urban,Yes,Mobile Internet,6,4,No,Private,Rural,Female,No,Computer
8334,Hons or Grater,23.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,5,3,Yes,Private,Urban,Female,Yes,Computer
8335,Hons or Grater,25.0,Yes,Yes,Yes,No,Urban,No,Broadband,6,3,Yes,Private,Urban,Female,Yes,Computer
8336,Hons or Grater,22.0,Yes,No,No,Yes,Urban,Yes,Mobile Internet,3,3,No,Public,Urban,Male,Yes,Computer
8338,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,4,No,Private,Urban,Female,Yes,Computer
8339,Hons or Grater,24.0,Yes,No,No,No,Rural,Yes,Mobile Internet,6,2,Yes,Public,Rural,Female,Yes,Mobile
8340,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Urban,Female,Yes,Computer
8341,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,5,3,Yes,Public,Urban,Male,No,Computer
8344,Upto HSC,21.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,6,4,No,Private,Urban,Male,No,Computer
8345,Hons or Grater,25.0,Yes,No,Yes,Yes,Rural,Yes,Broadband,3,2,No,Public,Urban,Male,Yes,Computer
8346,Upto HSC,18.0,Yes,No,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Urban,Male,No,Computer
8348,Hons or Grater,26.0,Yes,No,No,No,Rural,Yes,Mobile Internet,4,3,Yes,Public,Rural,Female,Yes,Computer
8349,Hons or Grater,23.0,No,No,No,No,Urban,Yes,Broadband,6,2,No,Public,Rural,Male,No,Computer
8350,Upto HSC,18.0,Yes,No,No,No,Rural,Yes,Broadband,5,4,Yes,Private,Urban,Male,Yes,Computer
8352,Upto HSC,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,4,Yes,Private,Rural,Male,Yes,Computer
8353,Hons or Grater,21.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,4,3,Yes,Private,Urban,Male,Yes,Computer
8354,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,No,Broadband,4,3,No,Private,Urban,Male,Yes,Computer
8355,Hons or Grater,21.0,Yes,Yes,Yes,No,Rural,Yes,Mobile Internet,4,4,Yes,Public,Urban,Female,Yes,Computer
8356,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,4,Yes,Public,Rural,Female,No,Computer
8357,Upto HSC,22.0,No,Yes,No,Yes,Urban,Yes,Broadband,6,4,Yes,Private,Urban,Male,Yes,Mobile
8358,Upto HSC,25.0,Yes,No,Yes,No,Urban,Yes,Broadband,4,2,Yes,Public,Rural,Male,No,Computer
8359,Upto HSC,25.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,5,2,Yes,Private,Rural,Male,No,Computer
8360,Hons or Grater,24.0,No,Yes,Yes,No,Rural,No,Mobile Internet,3,2,No,Private,Urban,Male,No,Mobile
8361,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,No,Broadband,6,2,Yes,Private,Urban,Male,Yes,Computer
8362,Upto HSC,24.0,Yes,No,Yes,No,Urban,Yes,Broadband,6,3,Yes,Private,Rural,Female,Yes,Computer
8363,Upto HSC,25.0,Yes,No,Yes,No,Rural,Yes,Broadband,5,2,No,Public,Urban,Male,Yes,Computer
8366,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,5,3,No,Private,Rural,Male,Yes,Computer
