Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
Hons or Grater,23,Yes,Yes,No,Yes,Rural,No,Broadband,5,4,Yes,Public,Rural,Female,No,Computer
Upto HSC,21,No,Yes,No,No,Urban,No,Mobile Internet,3,4,No,Public,Rural,Female,Yes,Mobile
Hons or Grater,24,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,2,No,Private,Urban,Female,No,Computer
Upto HSC,22,Yes,Yes,Yes,Yes,Rural,No,Mobile Internet,5,3,No,Public,Rural,Male,No,Computer
Upto HSC,22,Yes,Yes,No,No,Urban,No,Mobile Internet,4,4,No,Public,Rural,Female,Yes,Computer
Hons or Grater,23,Yes,Yes,No,No,Urban,No,Mobile Internet,3,2,No,Private,Rural,Male,Yes,Computer
Upto HSC,21,Yes,Yes,No,No,Urban,Yes,Broadband,5,2,Yes,Private,Rural,Female,Yes,Mobile
Upto HSC,20,Yes,Yes,Yes,No,Urban,No,Broadband,5,4,No,Public,Rural,Male,Yes,Computer
Hons or Grater,25,No,Yes,No,No,Urban,No,Mobile Internet,4,4,No,Public,Rural,Male,No,Computer
Upto HSC,18,No,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,No,Public,Urban,Male,Yes,Mobile
Hons or Grater,22,Yes,Yes,No,Yes,Rural,No,Mobile Internet,5,3,Yes,Public,Urban,Male,Yes,Computer
